taxi_id,trip_start_timestamp,trip_seconds,trip_miles,trip_total
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-06 09:00:00,3600,10.6,51.0
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-06 10:00:00,360,0.7,8.0
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-06 10:30:00,600,1.9,8.25
6fcbe0f3aba7b8bb4f6a16942b3127f338608c0edff16e329649360a000aea041de88970a89bcb169274168adeca9f388da01a991cf790767d6db4c30eb1d7d5,2017-04-06 11:15:00,2760,15.8,40.75
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-29 15:30:00,7,0.0,10.75
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-29 15:45:00,763,1.89,10.25
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-29 16:15:00,612,1.8,8.25
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-29 16:15:00,186,0.67,4.75
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-29 16:30:00,842,1.2,14.25
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-29 17:00:00,783,1.48,12.25
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-29 17:30:00,328,0.54,6.25
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-29 17:45:00,897,1.52,12.5
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-29 18:00:00,620,2.56,9.5
a7f8a803b02435b36ed50641e61e4431c93394ee7c5d79b7fd0a7e62e125f2117a72fdf7c36a266a542f544ac55bea15d84316af486127d05f4c494aa6f54e21,2017-03-29 18:45:00,440,1.09,8.0
